gamePk,gameDate,away_team,home_team,venue,away_runs,away_hits,away_errors,home_runs,home_hits,home_errors,winner_team,loser_team,game_duration
71252,1901-06-03,Philadelphia Phillies,Pittsburgh Pirates,Exposition Park,1.0,6.0,3.0,11.0,12.0,1.0,,,
71246,1901-06-03,Baltimore Orioles,Cleveland Blues,League Park (1901-09),7.0,6.0,1.0,2.0,8.0,1.0,,,
71251,1901-06-03,Philadelphia Athletics,Detroit Tigers,Bennett Park,2.0,6.0,2.0,1.0,6.0,3.0,,,
71247,1901-06-03,Boston Americans,Milwaukee Brewers,Lloyd Street Grounds,2.0,4.0,1.0,4.0,6.0,4.0,,,
71250,1901-06-03,New York Giants,St. Louis Cardinals,Robison Field,8.0,15.0,0.0,4.0,10.0,2.0,,,
71249,1901-06-03,Boston Beaneaters,Chicago Orphans,West Side Park,3.0,10.0,1.0,0.0,4.0,2.0,,,
71253,1901-06-03,Washington Senators,Chicago White Sox,South Side Park ,5.0,8.0,1.0,3.0,4.0,0.0,,,
71256,1901-06-04,Brooklyn Superbas,Cincinnati Reds,League Park,7.0,11.0,1.0,3.0,6.0,3.0,,,
71260,1901-06-04,Philadelphia Phillies,Pittsburgh Pirates,Exposition Park,3.0,12.0,1.0,4.0,7.0,2.0,,,
71254,1901-06-04,Baltimore Orioles,Cleveland Blues,League Park (1901-09),1.0,6.0,3.0,5.0,8.0,1.0,,,
71259,1901-06-04,Philadelphia Athletics,Detroit Tigers,Bennett Park,1.0,6.0,1.0,9.0,12.0,2.0,,,
71255,1901-06-04,Boston Americans,Milwaukee Brewers,Lloyd Street Grounds,2.0,8.0,0.0,5.0,10.0,1.0,,,
71258,1901-06-04,New York Giants,St. Louis Cardinals,Robison Field,4.0,7.0,1.0,2.0,6.0,2.0,,,
71257,1901-06-04,Boston Beaneaters,Chicago Orphans,West Side Park,5.0,3.0,8.0,6.0,7.0,2.0,,,
71261,1901-06-04,Washington Senators,Chicago White Sox,South Side Park ,2.0,10.0,1.0,3.0,10.0,2.0,,,
71263,1901-06-05,Brooklyn Superbas,Cincinnati Reds,League Park,1.0,9.0,0.0,1.0,7.0,2.0,,,
71266,1901-06-05,Philadelphia Phillies,Pittsburgh Pirates,Exposition Park,2.0,7.0,5.0,5.0,7.0,2.0,,,
71265,1901-06-05,Philadelphia Athletics,Detroit Tigers,Bennett Park,2.0,6.0,2.0,3.0,4.0,3.0,,,
71262,1901-06-05,Boston Americans,Milwaukee Brewers,Lloyd Street Grounds,7.0,13.0,1.0,4.0,10.0,4.0,,,
71264,1901-06-05,New York Giants,St. Louis Cardinals,Robison Field,3.0,7.0,1.0,4.0,6.0,0.0,,,
71268,1901-06-06,Brooklyn Superbas,Pittsburgh Pirates,Exposition Park,4.0,8.0,1.0,1.0,6.0,2.0,,,
71267,1901-06-06,Baltimore Orioles,Cleveland Blues,League Park (1901-09),2.0,11.0,0.0,4.0,11.0,1.0,,,
71270,1901-06-06,Philadelphia Phillies,Chicago Orphans,West Side Park,14.0,16.0,1.0,4.0,11.0,10.0,,,
71269,1901-06-06,Boston Beaneaters,St. Louis Cardinals,Robison Field,3.0,6.0,0.0,4.0,10.0,3.0,,,
71275,1901-06-07,Milwaukee Brewers,Boston Americans,Huntington Avenue Grounds,2.0,6.0,4.0,4.0,6.0,3.0,,,
71271,1901-06-07,Brooklyn Superbas,Pittsburgh Pirates,Exposition Park,4.0,7.0,3.0,5.0,11.0,2.0,,,
71276,1901-06-07,New York Giants,Cincinnati Reds,League Park,2.0,4.0,1.0,3.0,9.0,4.0,,,
71273,1901-06-07,Chicago White Sox,Washington Senators,League Park (1901-03),15.0,18.0,4.0,4.0,8.0,4.0,,,
71274,1901-06-07,Cleveland Blues,Baltimore Orioles,Oriole Park,9.0,12.0,4.0,10.0,12.0,5.0,,,
71277,1901-06-07,Philadelphia Phillies,Chicago Orphans,West Side Park,4.0,8.0,4.0,6.0,11.0,0.0,,,
71272,1901-06-07,Boston Beaneaters,St. Louis Cardinals,Robison Field,3.0,8.0,3.0,8.0,9.0,1.0,,,
71282,1901-06-08,Milwaukee Brewers,Boston Americans,Huntington Avenue Grounds,4.0,6.0,4.0,12.0,8.0,3.0,,,
71281,1901-06-08,Detroit Tigers,Philadelphia Athletics,Columbia Park,1.0,4.0,3.0,6.0,7.0,1.0,,,
71278,1901-06-08,Brooklyn Superbas,Pittsburgh Pirates,Exposition Park,7.0,11.0,5.0,3.0,5.0,2.0,,,
71283,1901-06-08,New York Giants,Cincinnati Reds,League Park,4.0,11.0,2.0,6.0,9.0,1.0,,,
71279,1901-06-08,Chicago White Sox,Washington Senators,League Park (1901-03),3.0,5.0,1.0,8.0,14.0,1.0,,,
71280,1901-06-08,Cleveland Blues,Baltimore Orioles,Oriole Park,13.0,16.0,0.0,5.0,8.0,2.0,,,
71284,1901-06-08,Philadelphia Phillies,Chicago Orphans,West Side Park,4.0,5.0,1.0,5.0,12.0,4.0,,,
71286,1901-06-09,New York Giants,Cincinnati Reds,League Park,25.0,31.0,4.0,13.0,18.0,5.0,,,
71285,1901-06-09,Brooklyn Superbas,Chicago Orphans,West Side Park,7.0,10.0,2.0,6.0,12.0,4.0,,,
71292,1901-06-10,Milwaukee Brewers,Boston Americans,Huntington Avenue Grounds,4.0,8.0,2.0,7.0,16.0,3.0,,,
71291,1901-06-10,Detroit Tigers,Philadelphia Athletics,Columbia Park,5.0,9.0,4.0,4.0,7.0,1.0,,,
71293,1901-06-10,New York Giants,Pittsburgh Pirates,Exposition Park,1.0,6.0,3.0,3.0,7.0,0.0,,,
71288,1901-06-10,Boston Beaneaters,Cincinnati Reds,League Park,9.0,13.0,1.0,5.0,12.0,6.0,,,
71289,1901-06-10,Chicago White Sox,Washington Senators,League Park (1901-03),13.0,14.0,3.0,10.0,13.0,6.0,,,
71290,1901-06-10,Cleveland Blues,Baltimore Orioles,Oriole Park,13.0,14.0,4.0,6.0,12.0,5.0,,,
71287,1901-06-10,Brooklyn Superbas,Chicago Orphans,West Side Park,9.0,14.0,1.0,1.0,6.0,4.0,,,
71294,1901-06-10,Philadelphia Phillies,St. Louis Cardinals,Robison Field,0.0,7.0,0.0,8.0,13.0,0.0,,,
71300,1901-06-11,Milwaukee Brewers,Boston Americans,Huntington Avenue Grounds,4.0,8.0,0.0,8.0,13.0,4.0,,,
71299,1901-06-11,Detroit Tigers,Philadelphia Athletics,Columbia Park,4.0,7.0,2.0,1.0,4.0,0.0,,,
71301,1901-06-11,New York Giants,Pittsburgh Pirates,Exposition Park,0.0,2.0,0.0,4.0,5.0,0.0,,,
71296,1901-06-11,Boston Beaneaters,Cincinnati Reds,League Park,3.0,7.0,1.0,2.0,5.0,2.0,,,
71297,1901-06-11,Chicago White Sox,Washington Senators,League Park (1901-03),1.0,7.0,2.0,3.0,7.0,1.0,,,
71298,1901-06-11,Cleveland Blues,Baltimore Orioles,Oriole Park,8.0,12.0,2.0,5.0,8.0,3.0,,,
71295,1901-06-11,Brooklyn Superbas,Chicago Orphans,West Side Park,9.0,15.0,6.0,5.0,10.0,2.0,,,
71302,1901-06-11,Philadelphia Phillies,St. Louis Cardinals,Robison Field,3.0,7.0,2.0,1.0,8.0,2.0,,,
71307,1901-06-12,Detroit Tigers,Boston Americans,Huntington Avenue Grounds,2.0,6.0,3.0,4.0,9.0,0.0,,,
71308,1901-06-12,Milwaukee Brewers,Philadelphia Athletics,Columbia Park,6.0,12.0,2.0,5.0,7.0,2.0,,,
71309,1901-06-12,New York Giants,Pittsburgh Pirates,Exposition Park,2.0,9.0,2.0,5.0,8.0,2.0,,,
71306,1901-06-12,Cleveland Blues,Washington Senators,League Park (1901-03),6.0,8.0,1.0,0.0,5.0,7.0,,,
71304,1901-06-12,Boston Beaneaters,Cincinnati Reds,League Park,6.0,12.0,2.0,6.0,9.0,5.0,,,
71305,1901-06-12,Chicago White Sox,Baltimore Orioles,Oriole Park,1.0,3.0,2.0,8.0,15.0,1.0,,,
71303,1901-06-12,Brooklyn Superbas,Chicago Orphans,West Side Park,1.0,5.0,4.0,8.0,12.0,1.0,,,
71310,1901-06-12,Philadelphia Phillies,St. Louis Cardinals,Robison Field,0.0,6.0,2.0,6.0,10.0,0.0,,,
71314,1901-06-13,Detroit Tigers,Boston Americans,Huntington Avenue Grounds,11.0,14.0,2.0,6.0,13.0,4.0,,,
71315,1901-06-13,Milwaukee Brewers,Philadelphia Athletics,Columbia Park,0.0,2.0,2.0,6.0,10.0,2.0,,,
71317,1901-06-13,Philadelphia Phillies,Cincinnati Reds,League Park,8.0,10.0,1.0,4.0,7.0,5.0,,,
71312,1901-06-13,Boston Beaneaters,Pittsburgh Pirates,Exposition Park,2.0,6.0,2.0,6.0,11.0,1.0,,,
71313,1901-06-13,Chicago White Sox,Baltimore Orioles,Oriole Park,12.0,15.0,1.0,0.0,9.0,4.0,,,
71316,1901-06-13,New York Giants,Chicago Orphans,West Side Park,9.0,9.0,1.0,7.0,10.0,4.0,,,
71311,1901-06-13,Brooklyn Superbas,St. Louis Cardinals,Robison Field,3.0,9.0,1.0,5.0,8.0,1.0,,,
71321,1901-06-14,Detroit Tigers,Boston Americans,Huntington Avenue Grounds,7.0,10.0,6.0,16.0,19.0,1.0,,,
71322,1901-06-14,Milwaukee Brewers,Philadelphia Athletics,Columbia Park,0.0,5.0,2.0,7.0,11.0,0.0,,,
71319,1901-06-14,Boston Beaneaters,Pittsburgh Pirates,Exposition Park,7.0,14.0,0.0,1.0,6.0,2.0,,,
71320,1901-06-14,Chicago White Sox,Baltimore Orioles,Oriole Park,10.0,12.0,1.0,5.0,12.0,5.0,,,
71323,1901-06-14,New York Giants,Chicago Orphans,West Side Park,4.0,11.0,1.0,1.0,6.0,2.0,,,
71318,1901-06-14,Brooklyn Superbas,St. Louis Cardinals,Robison Field,2.0,10.0,2.0,10.0,12.0,0.0,,,
71327,1901-06-15,Detroit Tigers,Boston Americans,Huntington Avenue Grounds,4.0,6.0,4.0,12.0,14.0,3.0,,,
71326,1901-06-15,Cleveland Blues,Washington Senators,League Park (1901-03),5.0,8.0,3.0,3.0,12.0,1.0,,,
71329,1901-06-15,Philadelphia Phillies,Cincinnati Reds,League Park,5.0,8.0,0.0,4.0,6.0,1.0,,,
71325,1901-06-15,Boston Beaneaters,Pittsburgh Pirates,Exposition Park,0.0,4.0,1.0,1.0,5.0,0.0,,,
71328,1901-06-15,New York Giants,Chicago Orphans,West Side Park,2.0,6.0,3.0,9.0,13.0,0.0,,,
71324,1901-06-15,Brooklyn Superbas,St. Louis Cardinals,Robison Field,3.0,8.0,0.0,2.0,10.0,1.0,,,
71332,1901-06-16,Pittsburgh Pirates,Cincinnati Reds,League Park,2.0,7.0,0.0,0.0,4.0,1.0,,,
71331,1901-06-16,New York Giants,Chicago Orphans,West Side Park,4.0,11.0,6.0,4.0,11.0,4.0,,,
71330,1901-06-16,Brooklyn Superbas,St. Louis Cardinals,Robison Field,5.0,13.0,3.0,11.0,16.0,2.0,,,
71333,1901-06-17,Chicago White Sox,Boston Americans,Huntington Avenue Grounds,1.0,5.0,5.0,11.0,12.0,3.0,,,
71334,1901-06-17,Chicago White Sox,Boston Americans,Huntington Avenue Grounds,4.0,7.0,3.0,10.0,16.0,5.0,,,
71335,1901-06-17,Cleveland Blues,Philadelphia Athletics,Columbia Park,8.0,11.0,4.0,12.0,12.0,3.0,,,
71339,1901-06-17,St. Louis Cardinals,Cincinnati Reds,League Park,12.0,13.0,2.0,1.0,4.0,4.0,,,
71336,1901-06-17,Detroit Tigers,Washington Senators,League Park (1901-03),9.0,14.0,2.0,2.0,8.0,2.0,,,
71338,1901-06-17,Philadelphia Phillies,Boston Beaneaters,South End Grounds,8.0,12.0,3.0,9.0,13.0,3.0,,,
71337,1901-06-17,Milwaukee Brewers,Baltimore Orioles,Oriole Park,7.0,13.0,0.0,6.0,15.0,3.0,,,
71341,1901-06-18,Cleveland Blues,Philadelphia Athletics,Columbia Park,9.0,14.0,4.0,5.0,5.0,4.0,,,
71344,1901-06-18,New York Giants,Brooklyn Superbas,Washington Park ,5.0,14.0,1.0,10.0,11.0,4.0,,,
71346,1901-06-18,St. Louis Cardinals,Pittsburgh Pirates,Exposition Park,2.0,9.0,2.0,9.0,13.0,4.0,,,
71342,1901-06-18,Detroit Tigers,Washington Senators,League Park (1901-03),10.0,13.0,3.0,6.0,12.0,6.0,,,
71345,1901-06-18,Philadelphia Phillies,Boston Beaneaters,South End Grounds,4.0,6.0,2.0,5.0,10.0,2.0,,,
71340,1901-06-18,Chicago White Sox,Boston Americans,Huntington Avenue Grounds,3.0,7.0,4.0,4.0,5.0,4.0,,,
71343,1901-06-18,Milwaukee Brewers,Baltimore Orioles,Oriole Park,4.0,6.0,4.0,11.0,10.0,2.0,,,
71348,1901-06-19,Chicago Orphans,Boston Beaneaters,South End Grounds,2.0,6.0,2.0,6.0,9.0,3.0,,,
71349,1901-06-19,Chicago Orphans,Boston Beaneaters,South End Grounds,6.0,10.0,5.0,7.0,8.0,2.0,,,
71350,1901-06-19,Cincinnati Reds,Brooklyn Superbas,Washington Park ,6.0,10.0,0.0,10.0,13.0,2.0,,,
71351,1901-06-19,Cleveland Blues,Philadelphia Athletics,Columbia Park,3.0,9.0,5.0,4.0,7.0,3.0,,,
71354,1901-06-19,Pittsburgh Pirates,New York Giants,Polo Grounds III,5.0,9.0,5.0,5.0,7.0,4.0,,,
71352,1901-06-19,Detroit Tigers,Washington Senators,League Park (1901-03),2.0,5.0,5.0,7.0,13.0,2.0,,,
71355,1901-06-19,St. Louis Cardinals,Philadelphia Phillies,Baker Bowl,6.0,11.0,1.0,2.0,8.0,2.0,,,
71347,1901-06-19,Chicago White Sox,Boston Americans,Huntington Avenue Grounds,3.0,6.0,2.0,5.0,10.0,2.0,,,
71353,1901-06-19,Milwaukee Brewers,Baltimore Orioles,Oriole Park,3.0,11.0,1.0,9.0,16.0,1.0,,,
71364,1901-06-20,St. Louis Cardinals,Philadelphia Phillies,Baker Bowl,5.0,9.0,4.0,6.0,10.0,8.0,,,
71365,1901-06-20,St. Louis Cardinals,Philadelphia Phillies,Baker Bowl,4.0,9.0,4.0,2.0,10.0,5.0,,,
71357,1901-06-20,Chicago Orphans,Boston Beaneaters,South End Grounds,5.0,8.0,4.0,6.0,14.0,3.0,,,
71358,1901-06-20,Chicago Orphans,Boston Beaneaters,South End Grounds,0.0,5.0,1.0,2.0,6.0,1.0,,,
71359,1901-06-20,Cincinnati Reds,Brooklyn Superbas,Washington Park ,1.0,10.0,2.0,8.0,16.0,0.0,,,
71360,1901-06-20,Cleveland Blues,Philadelphia Athletics,Columbia Park,6.0,17.0,3.0,4.0,7.0,1.0,,,
71363,1901-06-20,Pittsburgh Pirates,New York Giants,Polo Grounds III,7.0,9.0,1.0,0.0,3.0,8.0,,,
71361,1901-06-20,Detroit Tigers,Washington Senators,League Park (1901-03),7.0,13.0,3.0,8.0,11.0,3.0,,,
71356,1901-06-20,Chicago White Sox,Boston Americans,Huntington Avenue Grounds,3.0,8.0,3.0,4.0,10.0,2.0,,,
71362,1901-06-20,Milwaukee Brewers,Baltimore Orioles,Oriole Park,2.0,4.0,3.0,7.0,11.0,2.0,,,
71369,1901-06-21,Cleveland Blues,Boston Americans,Huntington Avenue Grounds,3.0,10.0,3.0,4.0,9.0,3.0,,,
71368,1901-06-21,Cincinnati Reds,Brooklyn Superbas,Washington Park ,3.0,7.0,4.0,21.0,26.0,2.0,,,
71372,1901-06-21,Pittsburgh Pirates,New York Giants,Polo Grounds III,2.0,5.0,2.0,3.0,9.0,1.0,,,
71371,1901-06-21,Milwaukee Brewers,Washington Senators,League Park (1901-03),10.0,14.0,2.0,3.0,13.0,5.0,,,
71373,1901-06-21,St. Louis Cardinals,Philadelphia Phillies,Baker Bowl,1.0,7.0,0.0,4.0,12.0,1.0,,,
71367,1901-06-21,Chicago Orphans,Boston Beaneaters,South End Grounds,3.0,7.0,2.0,5.0,7.0,1.0,,,
71366,1901-06-21,Chicago White Sox,Philadelphia Athletics,Columbia Park,4.0,8.0,1.0,0.0,6.0,1.0,,,
71370,1901-06-21,Detroit Tigers,Baltimore Orioles,Oriole Park,3.0,5.0,2.0,4.0,10.0,3.0,,,
71375,1901-06-22,Chicago Orphans,Brooklyn Superbas,Washington Park ,16.0,20.0,2.0,6.0,11.0,3.0,,,
71376,1901-06-22,Chicago Orphans,Brooklyn Superbas,Washington Park ,5.0,13.0,1.0,2.0,8.0,1.0,,,
71381,1901-06-22,Pittsburgh Pirates,Boston Beaneaters,South End Grounds,2.0,13.0,1.0,4.0,9.0,1.0,,,
71382,1901-06-22,Pittsburgh Pirates,Boston Beaneaters,South End Grounds,6.0,10.0,1.0,2.0,5.0,3.0,,,
71378,1901-06-22,Cleveland Blues,Boston Americans,Huntington Avenue Grounds,1.0,7.0,3.0,8.0,7.0,1.0,,,
71383,1901-06-22,St. Louis Cardinals,New York Giants,Polo Grounds III,13.0,20.0,2.0,3.0,6.0,3.0,,,
71380,1901-06-22,Milwaukee Brewers,Washington Senators,League Park (1901-03),0.0,3.0,2.0,2.0,3.0,0.0,,,
71377,1901-06-22,Cincinnati Reds,Philadelphia Phillies,Baker Bowl,6.0,14.0,2.0,3.0,7.0,2.0,,,
71374,1901-06-22,Chicago White Sox,Philadelphia Athletics,Columbia Park,6.0,10.0,2.0,4.0,11.0,2.0,,,
71379,1901-06-22,Detroit Tigers,Baltimore Orioles,Oriole Park,3.0,4.0,6.0,10.0,15.0,7.0,,,
71386,1901-06-24,Cincinnati Reds,Philadelphia Phillies,Baker Bowl,0.0,10.0,1.0,8.0,11.0,1.0,,,
71387,1901-06-24,Cincinnati Reds,Philadelphia Phillies,Baker Bowl,1.0,5.0,6.0,19.0,22.0,0.0,,,
71388,1901-06-24,Cleveland Blues,Boston Americans,Huntington Avenue Grounds,7.0,12.0,1.0,1.0,5.0,4.0,,,
71385,1901-06-24,Chicago Orphans,Brooklyn Superbas,Washington Park ,1.0,8.0,0.0,2.0,8.0,2.0,,,
71392,1901-06-24,St. Louis Cardinals,New York Giants,Polo Grounds III,2.0,6.0,2.0,3.0,7.0,4.0,,,
71390,1901-06-24,Milwaukee Brewers,Washington Senators,League Park (1901-03),9.0,13.0,3.0,8.0,8.0,5.0,,,
71391,1901-06-24,Pittsburgh Pirates,Boston Beaneaters,South End Grounds,8.0,13.0,1.0,2.0,6.0,4.0,,,
71384,1901-06-24,Chicago White Sox,Philadelphia Athletics,Columbia Park,7.0,10.0,2.0,5.0,19.0,4.0,,,
71389,1901-06-24,Detroit Tigers,Baltimore Orioles,Oriole Park,8.0,12.0,4.0,17.0,22.0,4.0,,,
71396,1901-06-25,Cleveland Blues,Boston Americans,Huntington Avenue Grounds,2.0,8.0,3.0,4.0,13.0,3.0,,,
71394,1901-06-25,Chicago Orphans,Brooklyn Superbas,Washington Park ,2.0,8.0,2.0,5.0,7.0,2.0,,,
71400,1901-06-25,St. Louis Cardinals,New York Giants,Polo Grounds III,12.0,14.0,4.0,8.0,14.0,3.0,,,
71398,1901-06-25,Milwaukee Brewers,Washington Senators,League Park (1901-03),1.0,7.0,6.0,3.0,9.0,2.0,,,
71395,1901-06-25,Cincinnati Reds,Philadelphia Phillies,Baker Bowl,0.0,4.0,4.0,3.0,6.0,0.0,,,
71399,1901-06-25,Pittsburgh Pirates,Boston Beaneaters,South End Grounds,4.0,8.0,4.0,9.0,11.0,2.0,,,
71393,1901-06-25,Chicago White Sox,Philadelphia Athletics,Columbia Park,5.0,10.0,1.0,0.0,4.0,2.0,,,
71397,1901-06-25,Detroit Tigers,Baltimore Orioles,Oriole Park,2.0,9.0,4.0,4.0,9.0,3.0,,,
71402,1901-06-26,Milwaukee Brewers,Cleveland Blues,League Park (1901-09),8.0,11.0,2.0,5.0,9.0,2.0,,,
71404,1901-06-26,Pittsburgh Pirates,Brooklyn Superbas,Washington Park ,3.0,7.0,0.0,16.0,19.0,0.0,,,
71401,1901-06-26,Cincinnati Reds,New York Giants,Polo Grounds III,2.0,9.0,5.0,6.0,9.0,4.0,,,
71403,1901-06-26,Philadelphia Athletics,Washington Senators,League Park (1901-03),4.0,8.0,4.0,5.0,9.0,1.0,,,
71405,1901-06-26,St. Louis Cardinals,Boston Beaneaters,South End Grounds,3.0,6.0,2.0,2.0,7.0,1.0,,,
71409,1901-06-27,Cincinnati Reds,New York Giants,Polo Grounds III,7.0,14.0,2.0,5.0,11.0,4.0,,,
71410,1901-06-27,Cincinnati Reds,New York Giants,Polo Grounds III,0.0,3.0,3.0,4.0,9.0,1.0,,,
71407,1901-06-27,Chicago Orphans,Philadelphia Phillies,Baker Bowl,7.0,12.0,4.0,16.0,21.0,2.0,,,
71408,1901-06-27,Chicago Orphans,Philadelphia Phillies,Baker Bowl,3.0,10.0,4.0,4.0,5.0,2.0,,,
71414,1901-06-27,Pittsburgh Pirates,Brooklyn Superbas,Washington Park ,7.0,10.0,4.0,8.0,12.0,2.0,,,
71406,1901-06-27,Boston Americans,Washington Senators,League Park (1901-03),0.0,7.0,0.0,2.0,8.0,0.0,,,
71415,1901-06-27,St. Louis Cardinals,Boston Beaneaters,South End Grounds,7.0,14.0,6.0,8.0,10.0,4.0,,,
71413,1901-06-27,Philadelphia Athletics,Baltimore Orioles,Oriole Park,5.0,12.0,2.0,9.0,14.0,3.0,,,
71412,1901-06-27,Milwaukee Brewers,Detroit Tigers,Bennett Park,3.0,11.0,3.0,4.0,9.0,2.0,,,
71411,1901-06-27,Cleveland Blues,Chicago White Sox,South Side Park ,1.0,7.0,1.0,5.0,10.0,1.0,,,
71422,1901-06-28,Pittsburgh Pirates,Brooklyn Superbas,Washington Park ,5.0,12.0,1.0,3.0,7.0,2.0,,,
71418,1901-06-28,Cincinnati Reds,New York Giants,Polo Grounds III,10.0,11.0,2.0,11.0,17.0,5.0,,,
71416,1901-06-28,Boston Americans,Washington Senators,League Park (1901-03),6.0,10.0,4.0,5.0,7.0,3.0,,,
71417,1901-06-28,Chicago Orphans,Philadelphia Phillies,Baker Bowl,2.0,7.0,2.0,4.0,9.0,2.0,,,
71423,1901-06-28,St. Louis Cardinals,Boston Beaneaters,South End Grounds,10.0,11.0,4.0,4.0,7.0,4.0,,,
71421,1901-06-28,Philadelphia Athletics,Baltimore Orioles,Oriole Park,3.0,8.0,2.0,6.0,10.0,0.0,,,
71420,1901-06-28,Milwaukee Brewers,Detroit Tigers,Bennett Park,0.0,7.0,1.0,4.0,7.0,3.0,,,
71419,1901-06-28,Cleveland Blues,Chicago White Sox,South Side Park ,6.0,10.0,5.0,7.0,14.0,5.0,,,
71431,1901-06-29,St. Louis Cardinals,Brooklyn Superbas,Washington Park ,4.0,11.0,3.0,7.0,5.0,0.0,,,
71432,1901-06-29,St. Louis Cardinals,Brooklyn Superbas,Washington Park ,7.0,12.0,1.0,4.0,12.0,1.0,,,
71425,1901-06-29,Chicago Orphans,New York Giants,Polo Grounds III,1.0,4.0,2.0,14.0,19.0,1.0,,,
71424,1901-06-29,Boston Americans,Washington Senators,League Park (1901-03),7.0,12.0,2.0,2.0,6.0,2.0,,,
71430,1901-06-29,Pittsburgh Pirates,Philadelphia Phillies,Baker Bowl,5.0,12.0,5.0,4.0,8.0,2.0,,,
71426,1901-06-29,Cincinnati Reds,Boston Beaneaters,South End Grounds,11.0,15.0,3.0,5.0,9.0,4.0,,,
71429,1901-06-29,Philadelphia Athletics,Baltimore Orioles,Oriole Park,13.0,23.0,5.0,15.0,15.0,2.0,,,
71428,1901-06-29,Milwaukee Brewers,Detroit Tigers,Bennett Park,0.0,4.0,3.0,5.0,7.0,1.0,,,
71427,1901-06-29,Cleveland Blues,Chicago White Sox,South Side Park ,1.0,4.0,1.0,4.0,4.0,2.0,,,
71433,1901-06-30,Cleveland Blues,Milwaukee Brewers,Lloyd Street Grounds,7.0,18.0,1.0,0.0,0.0,1.0,,,
71434,1901-06-30,Detroit Tigers,Chicago White Sox,South Side Park ,2.0,7.0,2.0,4.0,5.0,3.0,,,
71437,1901-07-01,Cincinnati Reds,Boston Beaneaters,South End Grounds,1.0,6.0,2.0,9.0,13.0,0.0,,,
71438,1901-07-01,Cincinnati Reds,Boston Beaneaters,South End Grounds,2.0,9.0,3.0,4.0,7.0,0.0,,,
71436,1901-07-01,Chicago Orphans,New York Giants,Polo Grounds III,4.0,9.0,2.0,6.0,13.0,3.0,,,
71442,1901-07-01,St. Louis Cardinals,Brooklyn Superbas,Washington Park ,10.0,11.0,3.0,8.0,12.0,4.0,,,
71440,1901-07-01,Philadelphia Athletics,Washington Senators,League Park (1901-03),13.0,19.0,5.0,13.0,14.0,3.0,,,
71441,1901-07-01,Pittsburgh Pirates,Philadelphia Phillies,Baker Bowl,0.0,9.0,0.0,1.0,4.0,0.0,,,
71435,1901-07-01,Boston Americans,Baltimore Orioles,Oriole Park,5.0,8.0,0.0,7.0,11.0,2.0,,,
71439,1901-07-01,Cleveland Blues,Milwaukee Brewers,Lloyd Street Grounds,8.0,12.0,0.0,5.0,9.0,2.0,,,
71444,1901-07-02,Chicago Orphans,New York Giants,Polo Grounds III,2.0,10.0,3.0,6.0,11.0,2.0,,,
71450,1901-07-02,St. Louis Cardinals,Brooklyn Superbas,Washington Park ,4.0,7.0,0.0,2.0,7.0,3.0,,,
71448,1901-07-02,Philadelphia Athletics,Washington Senators,League Park (1901-03),6.0,13.0,2.0,10.0,11.0,2.0,,,
71449,1901-07-02,Pittsburgh Pirates,Philadelphia Phillies,Baker Bowl,5.0,11.0,2.0,3.0,9.0,2.0,,,
71445,1901-07-02,Cincinnati Reds,Boston Beaneaters,South End Grounds,10.0,14.0,1.0,1.0,8.0,3.0,,,
71443,1901-07-02,Boston Americans,Baltimore Orioles,Oriole Park,10.0,15.0,7.0,8.0,11.0,2.0,,,
71446,1901-07-02,Cleveland Blues,Milwaukee Brewers,Lloyd Street Grounds,6.0,12.0,0.0,4.0,8.0,1.0,,,
71447,1901-07-02,Detroit Tigers,Chicago White Sox,South Side Park ,2.0,5.0,7.0,3.0,7.0,1.0,,,
71454,1901-07-03,Washington Senators,Philadelphia Athletics,Columbia Park,7.0,10.0,1.0,9.0,12.0,1.0,,,
71452,1901-07-03,Chicago White Sox,Cleveland Blues,League Park (1901-09),4.0,8.0,1.0,3.0,8.0,2.0,,,
71451,1901-07-03,Baltimore Orioles,Boston Americans,Huntington Avenue Grounds,1.0,8.0,3.0,9.0,16.0,1.0,,,
71453,1901-07-03,Detroit Tigers,Milwaukee Brewers,Lloyd Street Grounds,7.0,14.0,3.0,5.0,13.0,3.0,,,
71465,1901-07-04,New York Giants,Pittsburgh Pirates,Exposition Park,5.0,14.0,1.0,3.0,11.0,1.0,,,
71466,1901-07-04,New York Giants,Pittsburgh Pirates,Exposition Park,0.0,7.0,5.0,12.0,14.0,1.0,,,
71459,1901-07-04,Boston Beaneaters,Cincinnati Reds,League Park,0.0,4.0,1.0,2.0,7.0,2.0,,,
71460,1901-07-04,Boston Beaneaters,Cincinnati Reds,League Park,6.0,12.0,4.0,4.0,5.0,3.0,,,
71461,1901-07-04,Chicago White Sox,Cleveland Blues,League Park (1901-09),2.0,8.0,0.0,8.0,16.0,1.0,,,
71462,1901-07-04,Chicago White Sox,Cleveland Blues,League Park (1901-09),5.0,9.0,4.0,6.0,8.0,2.0,,,
71455,1901-07-04,Baltimore Orioles,Boston Americans,Huntington Avenue Grounds,2.0,7.0,5.0,10.0,14.0,2.0,,,
71456,1901-07-04,Baltimore Orioles,Boston Americans,Huntington Avenue Grounds,3.0,6.0,3.0,8.0,10.0,1.0,,,
71463,1901-07-04,Detroit Tigers,Milwaukee Brewers,Lloyd Street Grounds,5.0,6.0,2.0,1.0,6.0,6.0,,,
